Model,Abbreviation,rep,liking,sweetness,sour,intensity
Bayes A,BayesA,1,0.701054162,0.755439745,0.827484139,0.595681907
Bayes A,BayesA,2,0.695912469,0.719493445,0.775223396,0.626797531
Bayes A,BayesA,3,0.686813774,0.751974686,0.835603135,0.6185298
Bayes A,BayesA,4,0.760608309,0.797576376,0.808788203,0.612331339
Bayes A,BayesA,5,0.683039071,0.738174553,0.814959391,0.665516422
Bayes A,BayesA,6,0.693292967,0.763329292,0.861757584,0.593882827
Bayes A,BayesA,7,0.726050932,0.796024675,0.826545014,0.631661897
Bayes A,BayesA,8,0.686362645,0.770671071,0.825938689,0.607671462
Bayes A,BayesA,9,0.689559933,0.773959126,0.817370894,0.607774903
Bayes A,BayesA,10,0.738980871,0.775683295,0.800830598,0.610842546
Bayes B,BayesB,1,0.704927807,0.758954339,0.820922443,0.599298133
Bayes B,BayesB,2,0.693290529,0.720189649,0.767516958,0.639818913
Bayes B,BayesB,3,0.693204928,0.746918464,0.830556119,0.618100297
Bayes B,BayesB,4,0.749565462,0.784130073,0.791661608,0.621580025
Bayes B,BayesB,5,0.69708396,0.749293091,0.813421995,0.666734175
Bayes B,BayesB,6,0.684313184,0.761157765,0.856045163,0.594569739
Bayes B,BayesB,7,0.721675333,0.793329526,0.819837013,0.659698037
Bayes B,BayesB,8,0.697900068,0.772535403,0.802860941,0.619327043
Bayes B,BayesB,9,0.682492355,0.764902259,0.807966615,0.629847847
Bayes B,BayesB,10,0.742587603,0.774162009,0.79101349,0.622957367
Bayes C,BayesC,1,0.704445369,0.753677983,0.81389464,0.589908276
Bayes C,BayesC,2,0.685538933,0.717861149,0.764017841,0.637305159
Bayes C,BayesC,3,0.684563216,0.744008407,0.82675417,0.621132103
Bayes C,BayesC,4,0.750156217,0.779586595,0.792108689,0.612088812
Bayes C,BayesC,5,0.696463586,0.74809498,0.811720449,0.666293409
Bayes C,BayesC,6,0.67798083,0.755677084,0.852549,0.5967439
Bayes C,BayesC,7,0.719999951,0.790554807,0.819514383,0.660771945
Bayes C,BayesC,8,0.687959462,0.770543204,0.798316497,0.615499301
Bayes C,BayesC,9,0.676237676,0.760670055,0.806892171,0.624412856
Bayes C,BayesC,10,0.739367545,0.77054862,0.788339235,0.617254088
Bayesian Lasso,BL,1,0.704915532,0.753440816,0.826119623,0.604577215
Bayesian Lasso,BL,2,0.695183076,0.721214977,0.775479857,0.632252103
Bayesian Lasso,BL,3,0.696401342,0.749440579,0.835290676,0.61994329
Bayesian Lasso,BL,4,0.76309284,0.796556217,0.805288464,0.606243156
Bayesian Lasso,BL,5,0.689195056,0.73972253,0.815902276,0.670581881
Bayesian Lasso,BL,6,0.695456611,0.762881815,0.859961318,0.597701018
Bayesian Lasso,BL,7,0.725781505,0.797785154,0.827054738,0.647193117
Bayesian Lasso,BL,8,0.691009352,0.770168957,0.821692039,0.607532026
Bayesian Lasso,BL,9,0.687821846,0.766798037,0.81724149,0.606330068
Bayesian Lasso,BL,10,0.74417262,0.774763316,0.799231197,0.612701342
Bayesian Neural Net,BNN,1,0.691227465,0.722156449,0.832290171,0.546104517
Bayesian Neural Net,BNN,2,0.686883963,0.684734393,0.772486596,0.584574712
Bayesian Neural Net,BNN,3,0.64780786,0.709953255,0.836951215,0.598164477
Bayesian Neural Net,BNN,4,0.741957834,0.760871505,0.827124012,0.55196251
Bayesian Neural Net,BNN,5,0.664193957,0.692879766,0.812379088,0.628656906
Bayesian Neural Net,BNN,6,0.684931958,0.727827024,0.859586291,0.407529029
Bayesian Neural Net,BNN,7,0.72036849,0.781218922,0.813764759,0.58667564
Bayesian Neural Net,BNN,8,0.649714124,0.723645456,0.824227765,0.532285974
Bayesian Neural Net,BNN,9,0.678427562,0.741863434,0.828983973,0.566309982
Bayesian Neural Net,BNN,10,0.690915459,0.72949054,0.802952448,0.550886978
Bayesian Ridge Regression,BRR,1,0.695222029,0.739507229,0.812140275,0.575029957
Bayesian Ridge Regression,BRR,2,0.683245516,0.687534145,0.761302469,0.589611137
Bayesian Ridge Regression,BRR,3,0.661071871,0.715268329,0.829047426,0.600879159
Bayesian Ridge Regression,BRR,4,0.752624822,0.785165144,0.800636925,0.569800707
Bayesian Ridge Regression,BRR,5,0.669590613,0.712448925,0.801184799,0.648685225
Bayesian Ridge Regression,BRR,6,0.687548981,0.739880565,0.851758207,0.580760731
Bayesian Ridge Regression,BRR,7,0.717405193,0.782401641,0.817656276,0.597505127
Bayesian Ridge Regression,BRR,8,0.657008628,0.742309238,0.812159731,0.555513723
Bayesian Ridge Regression,BRR,9,0.67963365,0.752223992,0.806166323,0.585334104
Bayesian Ridge Regression,BRR,10,0.714654877,0.74723514,0.792256695,0.578487274
Elastic Net,EN,1,0.710114581,0.754222541,0.806975719,0.584395329
Elastic Net,EN,2,0.668930166,0.695758013,0.736292117,0.649040106
Elastic Net,EN,3,0.687980457,0.746094012,0.826750055,0.597171536
Elastic Net,EN,4,0.753360301,0.780093478,0.775086142,0.637476195
Elastic Net,EN,5,0.67779964,0.745469506,0.797630817,0.63938743
Elastic Net,EN,6,0.667252206,0.745638819,0.841072491,0.585634464
Elastic Net,EN,7,0.694267947,0.779554885,0.810754785,0.648916667
Elastic Net,EN,8,0.677624,0.756727342,0.788829312,0.596608885
Elastic Net,EN,9,0.661968474,0.76692662,0.789429013,0.622583301
Elastic Net,EN,10,0.721076975,0.768977903,0.781257316,0.625740572
Gradient Boosting Machine,GBM,1,0.697109781,0.726821319,0.85552716,0.659108123
Gradient Boosting Machine,GBM,2,0.618274414,0.691708915,0.811196544,0.648692154
Gradient Boosting Machine,GBM,3,0.69310018,0.735983792,0.871911744,0.607834114
Gradient Boosting Machine,GBM,4,0.739572772,0.779103394,0.855616015,0.656496934
Gradient Boosting Machine,GBM,5,0.651201024,0.718333606,0.86523965,0.623981313
Gradient Boosting Machine,GBM,6,0.684792814,0.751526768,0.857370243,0.600914575
Gradient Boosting Machine,GBM,7,0.741104207,0.759201715,0.848459445,0.677185217
Gradient Boosting Machine,GBM,8,0.663459248,0.784595487,0.839425453,0.63401448
Gradient Boosting Machine,GBM,9,0.665330118,0.7563614,0.871148268,0.656053056
Gradient Boosting Machine,GBM,10,0.693023169,0.735479832,0.817267025,0.607366477
Kernel Partial Least Squares,KPLS,1,0.668551468,0.723159278,0.807345383,0.551008157
Kernel Partial Least Squares,KPLS,2,0.651174307,0.670107936,0.769159332,0.596055812
Kernel Partial Least Squares,KPLS,3,0.66583128,0.708179193,0.828861991,0.611674502
Kernel Partial Least Squares,KPLS,4,0.711680431,0.752048008,0.825435789,0.575597451
Kernel Partial Least Squares,KPLS,5,0.646689915,0.698294211,0.805907791,0.636915021
Kernel Partial Least Squares,KPLS,6,0.675835424,0.731661916,0.832958582,0.585422985
Kernel Partial Least Squares,KPLS,7,0.697945334,0.759275887,0.806668402,0.601038763
Kernel Partial Least Squares,KPLS,8,0.664145105,0.726557333,0.817799612,0.564578631
Kernel Partial Least Squares,KPLS,9,0.665430044,0.727306418,0.807415687,0.566666398
Kernel Partial Least Squares,KPLS,10,0.734010601,0.756204383,0.783826496,0.602890407
Linear Regression,LR,1,0.658998637,0.704768471,0.801016927,0.467632165
Linear Regression,LR,2,0.633783519,0.660460191,0.733139847,0.523151153
Linear Regression,LR,3,0.581225463,0.670458314,0.805967499,0.537192937
Linear Regression,LR,4,0.705910206,0.748443299,0.784965327,0.475494596
Linear Regression,LR,5,0.658988443,0.681160316,0.797830119,0.576140941
Linear Regression,LR,6,0.63211305,0.684276252,0.84792128,0.516150985
Linear Regression,LR,7,0.656332895,0.752370579,0.806911743,0.529733554
Linear Regression,LR,8,0.558045683,0.669609983,0.78869951,0.427660524
Linear Regression,LR,9,0.645960564,0.725861384,0.79434358,0.521534995
Linear Regression,LR,10,0.594005912,0.675521339,0.798450903,0.497015059
Neural Net,NN,1,0.695148177,0.736894021,0.826533009,0.586557798
Neural Net,NN,2,0.678819592,0.684794274,0.779910797,0.607593553
Neural Net,NN,3,0.672266451,0.713404912,0.841727636,0.613881799
Neural Net,NN,4,0.748703064,0.78072195,0.824773605,0.586835965
Neural Net,NN,5,0.668632818,0.710224862,0.816270365,0.643678074
Neural Net,NN,6,0.691512011,0.742845962,0.849654573,0.590705727
Neural Net,NN,7,0.708518258,0.778309098,0.827168135,0.61269706
Neural Net,NN,8,0.659308421,0.741829544,0.823284075,0.55422249
Neural Net,NN,9,0.680961157,0.750076834,0.815652209,0.582409378
Neural Net,NN,10,0.723312195,0.745632776,0.793458104,0.594668584
Random Forest,RF,1,0.65294845,0.684394268,0.824003458,0.66104709
Random Forest,RF,2,0.594730025,0.6366272,0.77415825,0.659303349
Random Forest,RF,3,0.625202135,0.691840226,0.837426175,0.619181333
Random Forest,RF,4,0.72599891,0.752152266,0.822217776,0.682331609
Random Forest,RF,5,0.582114098,0.686649115,0.831570737,0.634174225
Random Forest,RF,6,0.666223492,0.738942401,0.826190104,0.610373057
Random Forest,RF,7,0.698375051,0.72482543,0.802362719,0.662949172
Random Forest,RF,8,0.65081177,0.756568146,0.793397671,0.672639802
Random Forest,RF,9,0.634213787,0.719895465,0.835705483,0.659309448
Random Forest,RF,10,0.684514545,0.728001067,0.804999074,0.63960389
Reproducing Kernel Hilbert Space,RKHS,1,0.696414509,0.740732065,0.811751308,0.579800718
Reproducing Kernel Hilbert Space,RKHS,2,0.68416674,0.691108503,0.760270114,0.594529487
Reproducing Kernel Hilbert Space,RKHS,3,0.666295317,0.721599448,0.833004929,0.60316564
Reproducing Kernel Hilbert Space,RKHS,4,0.753577961,0.786462236,0.803358934,0.575975847
Reproducing Kernel Hilbert Space,RKHS,5,0.673000979,0.714585568,0.800865825,0.647194792
Reproducing Kernel Hilbert Space,RKHS,6,0.685394122,0.739286929,0.850920369,0.584758995
Reproducing Kernel Hilbert Space,RKHS,7,0.717039102,0.779428844,0.820048241,0.602276736
Reproducing Kernel Hilbert Space,RKHS,8,0.664592308,0.745124468,0.814640974,0.560875234
Reproducing Kernel Hilbert Space,RKHS,9,0.677852891,0.750954703,0.805897513,0.579597762
Reproducing Kernel Hilbert Space,RKHS,10,0.721297632,0.748578665,0.790538821,0.584690794
Relevent Vector Machine,RVM,1,0.682849313,0.726648041,0.816980183,0.648091276
Relevent Vector Machine,RVM,2,0.616327649,0.644699608,0.770056506,0.632514963
Relevent Vector Machine,RVM,3,0.628535368,0.679785105,0.828039768,0.660212655
Relevent Vector Machine,RVM,4,0.758422027,0.771126114,0.8309665,0.685584593
Relevent Vector Machine,RVM,5,0.635273868,0.67495741,0.809411774,0.634826405
Relevent Vector Machine,RVM,6,0.678159094,0.736543587,0.846890538,0.599373714
Relevent Vector Machine,RVM,7,0.741472521,0.754279875,0.828077532,0.680171162
Relevent Vector Machine,RVM,8,0.646387974,0.720182466,0.809821198,0.626465722
Relevent Vector Machine,RVM,9,0.681499191,0.716095151,0.820941735,0.596635551
Relevent Vector Machine,RVM,10,0.708728281,0.717709674,0.77941119,0.655648797
Linear Support Vector Machine,SVMl,1,0.650759559,0.694352681,0.789337651,0.465037991
Linear Support Vector Machine,SVMl,2,0.63037382,0.687162758,0.709270704,0.54243341
Linear Support Vector Machine,SVMl,3,0.59275157,0.704992465,0.819570144,0.568151949
Linear Support Vector Machine,SVMl,4,0.705852012,0.774799492,0.764298408,0.534132273
Linear Support Vector Machine,SVMl,5,0.640196946,0.692083284,0.782477863,0.607129941
Linear Support Vector Machine,SVMl,6,0.64454654,0.740849718,0.82863305,0.570547147
Linear Support Vector Machine,SVMl,7,0.621444124,0.752124443,0.805686638,0.557899552
Linear Support Vector Machine,SVMl,8,0.588034797,0.711592376,0.781317422,0.45676687
Linear Support Vector Machine,SVMl,9,0.643822178,0.757449255,0.772196901,0.506827011
Linear Support Vector Machine,SVMl,10,0.651106107,0.744557395,0.759504792,0.517317666
Radial Support Vector Machine,SVMr,1,0.651161929,0.688932923,0.812782228,0.63032351
Radial Support Vector Machine,SVMr,2,0.631326445,0.66239874,0.779535839,0.636275635
Radial Support Vector Machine,SVMr,3,0.611573651,0.648134917,0.806174055,0.62902501
Radial Support Vector Machine,SVMr,4,0.720133886,0.76521302,0.824011448,0.67468105
Radial Support Vector Machine,SVMr,5,0.607252207,0.658878037,0.791336086,0.600726178
Radial Support Vector Machine,SVMr,6,0.674934618,0.727376921,0.826993269,0.575396087
Radial Support Vector Machine,SVMr,7,0.684343585,0.723678787,0.805011809,0.646483689
Radial Support Vector Machine,SVMr,8,0.608997505,0.709776508,0.808592824,0.608192268
Radial Support Vector Machine,SVMr,9,0.659559311,0.717384661,0.817908719,0.607241591
Radial Support Vector Machine,SVMr,10,0.679277535,0.706945334,0.77355705,0.655252047
SVM Radial Sigma,SVMrs,1,0.667624118,0.707733438,0.822086656,0.627211365
SVM Radial Sigma,SVMrs,2,0.640395396,0.658306862,0.778133293,0.636195472
SVM Radial Sigma,SVMrs,3,0.607283866,0.653164643,0.818398991,0.631786031
SVM Radial Sigma,SVMrs,4,0.709073956,0.767297912,0.825002035,0.677772671
SVM Radial Sigma,SVMrs,5,0.60876148,0.665132185,0.797979873,0.597910274
SVM Radial Sigma,SVMrs,6,0.659032278,0.746151975,0.815468805,0.573460516
SVM Radial Sigma,SVMrs,7,0.68262553,0.719954567,0.801209957,0.630338678
SVM Radial Sigma,SVMrs,8,0.605824842,0.708077856,0.807258197,0.600144833
SVM Radial Sigma,SVMrs,9,0.641610936,0.727060772,0.810294119,0.588284289
SVM Radial Sigma,SVMrs,10,0.663788973,0.716844699,0.788695655,0.652504118
XGBoost,XGB,1,0.707857233,0.752344127,0.87243082,0.6006172
XGBoost,XGB,2,0.692952138,0.753756041,0.856604498,0.604430427
XGBoost,XGB,3,0.686610835,0.719939665,0.861016131,0.560910857
XGBoost,XGB,4,0.645834044,0.726234924,0.872748,0.609465036
XGBoost,XGB,5,0.708987922,0.756185859,0.859191397,0.661376775
XGBoost,XGB,6,0.710619458,0.732302479,0.876922843,0.616236981
XGBoost,XGB,7,0.740278514,0.775422891,0.873014743,0.644261352
XGBoost,XGB,8,0.692529537,0.753382818,0.864965878,0.628558985
XGBoost,XGB,9,0.699126986,0.748169423,0.869751244,0.609307174
XGBoost,XGB,10,0.716952726,0.767728031,0.874257738,0.654888667
